cuisines,count
"Mediterranean, Spanish, Bar, Pub",150
"Italian, Tuscan, Central-Italian, Mediterranean",150
"Sushi, Japanese",150
"German, Cafe, Diner",149
"Indian, Balti, Bangladeshi, Asian",149
"Italian, Mediterranean, European, Tuscan, Central-Italian",149
"European, Central European, German",149
"Mediterranean, Greek, Grill",149
"Mediterranean, Healthy",149
"Spanish, Seafood, Mediterranean",149
"Italian, Pizza, Gastropub",148
"Italian, Mediterranean, Spanish",148
"Fast food, Greek",148
"Italian, Cafe, Bar, Pub",148
"European, Wine Bar",147
"French, Bar, Mediterranean, European",146
"Czech, European",146
"French, Cafe, Fast food",146
"American, French",145
"Mediterranean, European, Turkish, Middle Eastern",145
"Cafe, British, Contemporary",145
"Italian, Pizza, Pub",145
"International, French",145
"Indian, Bangladeshi",143
"European, Eastern European, Central European, Hungarian",143
"Moroccan, Mediterranean, Middle Eastern, Tunisian",143
"Mexican, Latin, Spanish",143
"Cafe, British, Deli",143
"Gastropub, French",143
"Cafe, Italian, Bar, Pub",143
"Chinese, Asian, Seafood",142
"French, British",142
"Seafood, Mediterranean, Italian",141
"British, Welsh",141
"Asian, Vietnamese, Thai",140
"Spanish, Healthy",140
"Asian, Nepalese",140
"Greek, European, Central European",140
"Italian, Grill",140
"Italian, Pizza, Seafood, European",139
"International, Mediterranean, European, Spanish",139
"French, Steakhouse, European",139
"Asian, Vietnamese, Soups",138
"Cafe, Portuguese, European",138
"Bar, British, Scottish",138
"Indian, Balti, Asian, Bangladeshi",138
"French, Moroccan, Mediterranean",137
"Brazilian, European, Portuguese, South American",137
"Mediterranean, French, European",137
"Middle Eastern, Pakistani",136
"Bar, Cafe, European",136
"Belgian, Cafe, European",136
"Steakhouse, Mediterranean, European, Spanish",135
"European, Central European, Hungarian",135
"Bar, Pub, Spanish",134
"Bar, Fast food, Pub",134
"Chinese, Asian, Vietnamese, Thai",134
"Barbecue, Grill",134
"Italian, Mediterranean, European, Romana, Lazio, Central-Italian",134
"German, International, European",134
"Italian, Mediterranean, Healthy",133
"Italian, Dutch, European",133
"Dutch, Seafood, International, European",132
"Indian, Pakistani, Middle Eastern",131
"Italian, French, American",131
"Italian, Pizza, Romana, Lazio, Central-Italian",131
"Asian, Taiwanese",131
"Italian, Seafood, Mediterranean, Contemporary",130
"American, Fast food, Diner",130
"German, Seafood, European, Central European",130
"Cafe, European, Healthy",130
"Mediterranean, Italian, Pizza",129
"Italian, British",129
"Cafe, European, Danish",129
"Mediterranean, Fusion",128
"Mediterranean, Greek, Healthy",128
"Italian, Mediterranean, Barbecue, Tuscan, Central-Italian",128
"Dutch, French, European",128
"Northern-Italian, Italian",128
"Italian, Sardinian, Southern-Italian",128
"Mediterranean, Spanish, International",128
"French, American, European",127
"Spanish, Catalan",127
"Tuscan, Central-Italian",127
"Fast food, Asian",127
Brew Pub,127
"International, European, Czech",126
"Pizza, Italian, Mediterranean, European",125
"Sushi, Asian, Vietnamese",125
"Mediterranean, Italian, Seafood",125
"Italian, Mediterranean, Ligurian, Northern-Italian",124
"Italian, Pizza, Mediterranean, European, Sicilian, Southern-Italian",124
"International, Dutch, European",124
"Dutch, Seafood, European, Central European",124
"Italian, Pizza, Sicilian, Southern-Italian",124
"Japanese, Seafood, Sushi, Asian, Fusion",123
"Chinese, Asian, Indonesian",123
"French, Seafood, Healthy",123
"European, Diner, Czech",123
"European, Cafe",122
"Fast food, Italian",122
"Cafe, Street Food",122
"European, Mediterranean",121
"Mediterranean, Spanish, Grill",121
"International, European, Romanian",120
"American, International",120
"French, Brew Pub",120
"Pizza, Spanish",120
"Spanish, Bar",120
"Seafood, German",120
"Thai, Vietnamese",119
"American, Dutch, European",119
"Italian, Pizza, Mediterranean, European, Romana, Lazio, Central-Italian",119
"Seafood, European, Portuguese, Mediterranean",119
"Austrian, European, Diner",118
"Mediterranean, Barbecue, Spanish",118
"Chinese, Japanese, Asian, Thai, Vietnamese",118
"Italian, Pizza, Mediterranean, European, Central European",117
"Fast food, Mediterranean, Greek",117
"European, Eastern European",117
"German, Healthy",117
"Steakhouse, German",117
"Cafe, European, Scandinavian",116
"Cafe, Mediterranean, Greek",116
"European, Greek, Mediterranean",116
"Seafood, French, European",116
"Austrian, German, European, Central European",116
"Spanish, Contemporary",115
"Chinese, Asian, Japanese, Vietnamese",115
"Seafood, Mediterranean, Croatian, European",115
"Spanish, International",115
"French, European, Fusion",115
"Seafood, Mediterranean, Greek, Grill",115
"Polish, International, European",115
"Belgian, Bar, European, Pub",115
"French, Steakhouse, Grill",114
"Mediterranean, European, Central European",114
"French, Belgian, Bar, European",114
"Italian, Seafood, Mediterranean, European, Ligurian, Northern-Italian",113
"Seafood, Portuguese, European",113
"Spanish, Fusion",113
"French, Pizza, European",113
"Mediterranean, European, Spanish, Wine Bar",113
