restaurant_name,country_name,city_name,cuisines
Restaurant Le Relais du Claps,France,Luc-en-Diois,French
Café Restaurant La Fontaine,France,Luc-en-Diois,French
Champagolf,France,Albon,French
Paul,France,Albon,
La Poule Noire,France,Albon,French
L’Albatros,France,Albon,French
Restaurant Bar des Ailes,France,Albon,French
Le Merlet,France,Soyans,French
L'escargot de Pascalin,France,Soyans,
McDonald's,France,Les Touches,Fast food
Clos 85,France,Linxe,French
Land's Pizzas!,France,Linxe,Pizza
Land's Pizzas,France,Linxe,Pizza
Le Relais De La Poste,France,Segonzac,French
Sur l'Ardoise,France,Versonnex,"French, European"
La Bohème,France,Versonnex,"Italian, French, Pizza"
Patisserie MaitrePierre,France,Embrun,French
L'Epicerie Du Terroir,France,Embrun,French
Restaurant de la Mairie,France,Embrun,"French, European"
La Farandole du Gout,France,Embrun,French
La Buvette,France,Embrun,"French, Wine Bar"
Ristorante Pizzeria Margherita Embrun,France,Embrun,"Italian, Pizza"
Aux Pains Gourmands,France,Embrun,
Les Curieux Gourmands,France,Embrun,French
Pizzeria la montagne,France,Embrun,"Pizza, Italian"
L'Alcove,France,Embrun,"Japanese, Asian, Sushi"
Bar brasserie Chez Elsa,France,Embrun,French
Le Delice Des Alpes,France,Embrun,French
Krispyjo,France,Embrun,Italian
Le Boulevard Comme au Bistro,France,Embrun,"French, European"
"Le tandem, bistrot vélo",France,Embrun,French
Keb'Alpes,France,Embrun,"French, Mexican, Turkish"
Glacier Du Roc,France,Embrun,French
Le Rooftop Embrun,France,Embrun,"Gastropub, French"
Ristorante Il Cappuccino,France,Embrun,Italian
Pizzeria Le Piccolo,France,Embrun,"Italian, Pizza"
Le Taboo,France,Embrun,French
L'abri-côtier,France,Embrun,Fast food
Pizz'Alpes,France,Embrun,"Italian, French, Pizza"
Le Mot De La Faim,France,Embrun,"French, European"
La Baraka,France,Embrun,"Moroccan, Middle Eastern, Mediterranean"
Le gout des autres,France,Embrun,"French, European"
Le Chalvet,France,Embrun,French
L'ogow,France,Embrun,"French, European"
La Taverne de Pan,France,Embrun,"Wine Bar, French, Cafe"
Le jasmin,France,Embrun,"Chinese, Asian, Vietnamese"
Creperie Pizzeria Aux P'Tits Oignons,France,Embrun,
Au Detour,France,Embrun,"French, European"
Chez Pascal,France,Embrun,French
La Robéyère Restaurant,France,Embrun,"French, European"
Le Co'case,France,Embrun,French
Le Stromboli,France,Embrun,Italian
La Truite qui Parle,France,Embrun,French
Hotel le Commerce,France,Embrun,French
Le Tourisme,France,Embrun,French
Pizza Mia,France,Embrun,"Italian, Pizza, Mediterranean, French, Fast food"
Jack's Burger,France,Embrun,"Street Food, Fast food, American"
Chez Michele,France,Languimberg,"French, European"
Gang Of Pizza,France,Pleyber Christ,
Crêperie Les Fougères,France,Pleyber Christ,French
Le celtic,France,Pleyber Christ,
Restaurant L'aromate,France,Pleyber Christ,French
Subway,France,Maurepas,Fast food
Shamim,France,Maurepas,Indian
Grillade à la Braise,France,Maurepas,Barbecue
Cuistot Grill,France,Maurepas,French
WestGrill78,France,Maurepas,"French, American, South American"
La Perm’,France,Maurepas,
Maison Eeuwaert,France,Maurepas,French
Fujiyama,France,Maurepas,"Japanese, Asian"
Le Social,France,Maurepas,French
Pizza Hut Maurepas,France,Maurepas,Pizza
La Tonnelle,France,Maurepas,French
Flunch,France,Maurepas,French
